year,display_year,year_type,region,fleet,species,catch
1994,1994/95,fin,Queenscliff,Pot,Lobster,33713
1995,1995/96,fin,Queenscliff,Pot,Lobster,33323
1996,1996/97,fin,Queenscliff,Pot,Lobster,27211
1997,1997/98,fin,Queenscliff,Pot,Lobster,28818
1998,1998/99,fin,Queenscliff,Pot,Lobster,30872
1999,1999/00,fin,Queenscliff,Pot,Lobster,43207
2000,2000/01,fin,Queenscliff,Pot,Lobster,42295
2001,2001/02,fin,Queenscliff,Pot,Lobster,36890
2002,2002/03,fin,Queenscliff,Pot,Lobster,34155
2003,2003/04,fin,Queenscliff,Pot,Lobster,36563
2004,2004/05,fin,Queenscliff,Pot,Lobster,40096
2005,2005/06,fin,Queenscliff,Pot,Lobster,27868
2006,2006/07,fin,Queenscliff,Pot,Lobster,30472
2007,2007/08,fin,Queenscliff,Pot,Lobster,26011
2008,2008/09,fin,Queenscliff,Pot,Lobster,21177
2009,2009/10,fin,Queenscliff,Pot,Lobster,22228
2010,2010/11,fin,Queenscliff,Pot,Lobster,37285
2011,2011/12,fin,Queenscliff,Pot,Lobster,37238
2012,2012/13,fin,Queenscliff,Pot,Lobster,29880
2013,2013/14,fin,Queenscliff,Pot,Lobster,30900
2014,2014/15,fin,Queenscliff,Pot,Lobster,41788
2015,2015/16,fin,Queenscliff,Pot,Lobster,38604
2009,2009/10,fin,All,TAC,Lobster,66000
2010,2010/11,fin,All,TAC,Lobster,66000
2011,2011/12,fin,All,TAC,Lobster,66000
2012,2012/13,fin,All,TAC,Lobster,48000
2013,2013/14,fin,All,TAC,Lobster,51000
2014,2014/15,fin,All,TAC,Lobster,59000
2015,2015/16,fin,All,TAC,Lobster,59000
